Province,Tumbol,solar_energy,total,plowing(All),spray_fertilizer,pumping_water,MAY,JUN,JUL,AUG
Bangkok,Prawet,17.78,1757,1280,432,45,18.7321,18.1115,17.3166,16.9606
Bangkok,Nong Bon,17.92,1757,1280,432,45,18.8198,18.2167,17.4436,17.215
Bangkok,Dokmai,17.98,1757,1280,432,45,18.8326,18.2851,17.5394,17.2528
Bangkok,KhlongToei,17.8,1757,1280,432,45,18.8126,18.1458,17.3101,16.9133
Bangkok,Khlong Tan,17.8,1757,1280,432,45,18.8126,18.1458,17.3101,16.9133
Bangkok,PhraKhanong,17.79,1757,1280,432,45,18.7777,18.1283,17.2799,16.9544
Bangkok,SuanLuang,17.66,1757,1280,432,45,18.6976,18.0165,17.0974,16.8477
Bangkok,On Nut,17.76,1757,1280,432,45,18.7244,18.078,17.3006,16.9184
Bangkok,Phatthanakan,17.7,1757,1280,432,45,18.697,18.0736,17.1522,16.8606
Bangkok,BangKhunThian,18.1,1757,1280,432,45,19.2318,18.3789,17.5207,17.2555
Bangkok,Bang Kho,18.1,1757,1280,432,45,19.2277,18.4092,17.5501,17.2037
Bangkok,BangMot,18.3,1757,1280,432,45,19.3889,18.6027,17.7672,17.4516
Bangkok,ChomThong,18.18,1757,1280,432,45,19.3106,18.5027,17.6333,17.2918
Bangkok,Si Kan,17.49,1757,1280,432,45,18.2334,17.8463,17.1277,16.7395
Bangkok,DonMueang,17.4,1757,1280,432,45,18.2038,17.7231,16.9641,16.6936
Bangkok,Sanambin,17.36,1757,1280,432,45,18.1518,17.6912,16.8841,16.7082
Bangkok,Thung PhayaThai,17.69,1757,1280,432,45,18.6451,18.0377,17.2165,16.8765
Bangkok,Thanon PhayaThai,17.75,1757,1280,432,45,18.7865,18.0675,17.2022,16.9494
Bangkok,Thanon Phetchaburi,17.75,1757,1280,432,45,18.7865,18.0675,17.2022,16.9494
Bangkok,Makkasan,17.68,1757,1280,432,45,18.6321,18.0584,17.168,16.8521
Bangkok,Lat Phrao,17.42,1757,1280,432,45,18.3146,17.8053,16.8273,16.7382
Bangkok,Chon Khe Bua,17.44,1757,1280,432,45,18.2978,17.8164,16.9141,16.7272
Bangkok,KhlongToei Nuea,17.7,1757,1280,432,45,18.7205,18.0828,17.1167,16.8653
Bangkok,Khlong Tan Nuea,17.7,1757,1280,432,45,18.7602,18.0666,17.1356,16.825
Bangkok,PhraKhanong Nuea,17.75,1757,1280,432,45,18.7516,18.1553,17.2411,16.8705
Bangkok,Bang Khae,18.07,1757,1280,432,45,19.2618,18.2913,17.4851,17.2592
Bangkok,Bang Khae N,18.07,1757,1280,432,45,19.2161,18.3382,17.4543,17.2738
Bangkok,Bang Phai,18.01,1757,1280,432,45,19.1709,18.2537,17.4019,17.23
Bangkok,Lak Song,18.08,1757,1280,432,45,19.2237,18.3186,17.4639,17.3123
Bangkok,Thung Song Hong,17.42,1757,1280,432,45,18.2016,17.7507,16.9658,16.7741
Bangkok,Talat BangKhen,17.4,1757,1280,432,45,18.2219,17.6789,16.9546,16.7436
Bangkok,SaiMai,17.36,1757,1280,432,45,18.3532,17.6471,16.8003,16.6346
Bangkok,O Ngoen,17.4,1757,1280,432,45,18.5044,17.6977,16.7924,16.6051
Bangkok,Khlong Thanon,17.38,1757,1280,432,45,18.3263,17.7302,16.7786,16.6717
Bangkok,KhannaYao,17.38,1757,1280,432,45,18.5001,17.7124,16.7526,16.5413
Bangkok,Ram In Thra,17.37,1757,1280,432,45,18.4311,17.702,16.7997,16.5358
Bangkok,SaphanSung,17.54,1757,1280,432,45,18.5537,17.9386,16.9924,16.6564
Bangkok,Rat Phatthana,17.51,1757,1280,432,45,18.5931,17.8778,16.9021,16.649
Bangkok,Thap Chang,17.58,1757,1280,432,45,18.5523,17.9339,17.0337,16.7804
Bangkok,Wang Thonglang,17.52,1757,1280,432,45,18.6261,17.8224,16.9842,16.6621
Bangkok,Saphan Song,17.44,1757,1280,432,45,18.4904,17.8189,16.8612,16.5993
Bangkok,Khlong Chaokhun Sing,17.42,1757,1280,432,45,18.4982,17.7485,16.8224,16.612
Bangkok,Phlapphla,17.5,1757,1280,432,45,18.5568,17.8495,16.9671,16.6435
Bangkok,Sam Wa Tawantok,17.48,1757,1280,432,45,18.6106,17.7876,16.8233,16.6953
Bangkok,Sam Wa Tawan ok,17.58,1757,1280,432,45,18.7902,17.9601,16.8495,16.7332
Bangkok,Bang Chan,17.36,1757,1280,432,45,18.4774,17.6891,16.7256,16.5658
Bangkok,Sai Kong Din,17.49,1757,1280,432,45,18.6176,17.8078,16.839,16.7124
Bangkok,Sai Kong Din Tai,17.48,1757,1280,432,45,18.6636,17.7306,16.8068,16.7377
Bangkok,Bang Na Nuea,17.95,1757,1280,432,45,18.8741,18.3032,17.4516,17.1709
Bangkok,Bang Na Tai,18.08,1757,1280,432,45,18.9187,18.4482,17.5715,17.391
Bangkok,Thawi Watthana,18.06,1757,1280,432,45,19.1048,18.3895,17.5387,17.2156
Bangkok,Sala Tham Mot Phon,18.02,1757,1280,432,45,19.0709,18.2413,17.5264,17.2223
Bangkok,BangMot,18.43,1757,1280,432,45,19.4227,18.7703,17.9366,17.6034
Bangkok,ThungKharu,18.77,1757,1280,432,45,19.7001,19.0763,18.2584,18.0348
Bangkok,BangBon Nuea,18.42,1757,1280,432,45,19.5273,18.7133,17.8102,17.6102
Bangkok,BangBon Tai,18.43,1757,1280,432,45,19.5525,18.7077,17.8151,17.6445
Bangkok,Khlong Bang Phran,18.21,1757,1280,432,45,19.335,18.4379,17.6463,17.4311
Bangkok,Khlong BangBon,18.28,1757,1280,432,45,19.4059,18.5221,17.725,17.4865
